"filename", "language", "TypeScript React", "XML", "JSON", "SCSS", "comment", "blank", "total"
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/template/typography.scss", "SCSS", 0, 0, 0, 14, 0, 2, 16
"/Users/julianklummer/WebProjects/synergic/src/server.tsx", "TypeScript React", 23, 0, 0, 0, 0, 9, 32
"/Users/julianklummer/WebProjects/synergic/src/site/favicon/site.webmanifest", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/julianklummer/WebProjects/synergic/src/site/sitemap.xml", "XML", 0, 7, 0, 0, 0, 1, 8
"/Users/julianklummer/WebProjects/synergic/src/website/Website.tsx", "TypeScript React", 44, 0, 0, 0, 0, 5, 49
"/Users/julianklummer/WebProjects/synergic/src/website/pageRender/PageAtomRender.tsx", "TypeScript React", 16, 0, 0, 0, 0, 2, 18
"/Users/julianklummer/WebProjects/synergic/src/website/pageRender/PageGridRender.tsx", "TypeScript React", 32, 0, 0, 0, 0, 5, 37
"/Users/julianklummer/WebProjects/synergic/src/website/pageRender/PageRender.tsx", "TypeScript React", 15, 0, 0, 0, 0, 3, 18
"/Users/julianklummer/WebProjects/synergic/src/website/pageRouter/PageRouter.tsx", "TypeScript React", 57, 0, 0, 0, 0, 7, 64
"/Users/julianklummer/WebProjects/synergic/src/website/pageRouter/PageRouterNavigation.tsx", "TypeScript React", 53, 0, 0, 0, 0, 7, 60
"Total", "-", 3412, 7, 1, 338, 30, 489, 4277
